BEST_EDGAR_TICKER,AUDITOR_FKEY,AUDITOR_NAME,SIG_DATE_OF_OP_X,GOING_CONCERN,FISCAL_YEAR_OF_OP,FISCAL_YEAR_END_OP,OP_AUD_PCAOB,FTP_FILE_FKEY,FILE_DATE,FILE_SIZE
NLST,2349,KMJ Corbin & Company LLP,20090330,0,2008,03JAN2009,1,edgar/data/1282631/0001047469-09-003367.txt,2009-03-30,946 KB
NLST,2349,KMJ Corbin & Company LLP,20080227,0,2007,29DEC2007,1,edgar/data/1282631/0001047469-08-002018.txt,2008-02-29,1 MB
NLST,206,Corbin & Company LLP,20070227,0,2006,30DEC2006,1,edgar/data/1282631/0001104659-07-014541.txt,2007-02-28,2 MB
NLST,206,Corbin & Company LLP,20060511,0,2005,31DEC2005,1,edgar/data/1282631/0001047469-06-011112.txt,2006-08-18,1 MB
NR,3,Deloitte & Touche LLP,20150227,0,2014,31DEC2014,1,edgar/data/71829/0001437749-15-003649.txt,2015-02-27,15 MB
NR,3,Deloitte & Touche LLP,20130228,0,2012,31DEC2012,1,edgar/data/71829/0001437749-13-002097.txt,2013-02-28,13 MB
NR,3,Deloitte & Touche LLP,20120229,0,2011,31DEC2011,1,edgar/data/71829/0001193125-12-089028.txt,2012-02-29,8 MB
NR,3,Deloitte & Touche LLP,20110308,0,2010,31DEC2010,1,edgar/data/71829/0000950123-11-023189.txt,2011-03-08,1 MB
NR,3,Deloitte & Touche LLP,20140228,0,2013,31DEC2013,1,edgar/data/71829/0001437749-14-003088.txt,2014-02-28,15 MB
NR,3,Deloitte & Touche LLP,20100303,0,2009,31DEC2009,1,edgar/data/71829/0000950123-10-020657.txt,2010-03-03,1 MB
NR,3,Deloitte & Touche LLP,20090306,0,2008,31DEC2008,1,edgar/data/71829/0000950129-09-000824.txt,2009-03-10,1 MB
NR,2,Ernst & Young LLP,20080306,0,2007,31DEC2007,1,edgar/data/71829/0000950129-08-001593.txt,2008-03-07,1 MB
NR,2,Ernst & Young LLP,20070313,0,2006,31DEC2006,1,edgar/data/71829/0000950129-07-001410.txt,2007-03-16,952 KB
NR,2,Ernst & Young LLP,20060306,0,2005,31DEC2005,1,edgar/data/71829/0000950129-06-002613.txt,2006-03-14,1 MB
NR,2,Ernst & Young LLP,20050315,0,2004,31DEC2004,1,edgar/data/71829/0000950129-05-002502.txt,2005-03-16,1 MB
NR,2,Ernst & Young LLP,20040301,0,2003,31DEC2003,1,edgar/data/71829/0000950129-04-001189.txt,2004-03-11,1 MB
NR,2,Ernst & Young LLP,20030227,0,2002,31DEC2002,1,edgar/data/71829/0000950134-03-004413.txt,2003-03-25,1 MB
NR,5,Arthur Andersen LLP,20020222,0,2001,31DEC2001,0,edgar/data/71829/0001035704-02-000159.txt,2002-03-14,743 KB
NR,5,Arthur Andersen LLP,20010302,0,2000,31DEC2000,0,edgar/data/71829/0000950134-01-002545.txt,2001-03-23,309 KB
NR,5,Arthur Andersen LLP,20000327,0,1999,31DEC1999,0,edgar/data/71829/0000950134-00-007457.txt,2000-08-28,1 MB
NSU,4,KPMG LLP,20150225,0,2014,31DEC2014,1,edgar/data/919991/0001472375-15-000058.txt,2015-02-27,1 MB
NSU,4,KPMG LLP,20140324,0,2013,31DEC2013,1,edgar/data/919991/0001472375-14-000069.txt,2014-03-25,1 MB
NSU,4,KPMG LLP,20130320,0,2012,31DEC2012,1,edgar/data/919991/0001472375-13-000061.txt,2013-03-20,979 KB
